driverId,week,hours-logged,miles-logged
85,14,69,3500
104,48,56,1500
10,23,57,2200
44,43,55,2800
57,40,55,4000
61,46,50,1800
71,43,51,1900
17,37,53,3800
61,52,59,2500
80,49,63,2800
18,30,79,1300
58,50,66,3800
17,14,55,1300
43,13,62,300
30,19,63,400
85,31,74,2200
57,27,51,1800
83,7,54,2100
92,22,69,600
33,2,55,2500
56,18,79,500
39,24,61,4000
77,39,65,2500
27,25,57,2800
46,1,57,1900
84,18,51,2500
71,45,77,4000
80,5,53,3400
46,24,76,800
81,3,50,400
19,31,69,0
47,38,72,1900
106,37,67,3100
53,48,67,100
32,13,60,400
90,35,77,1600
41,35,50,3200
54,36,65,2800
88,9,73,100
51,45,64,2300
67,3,78,3900
12,32,50,600
55,39,79,2600
100,52,69,3400
103,5,77,1100
69,19,70,1800
93,4,55,2200
93,27,58,1400
67,12,51,3900
21,29,69,3700
74,26,63,1500
69,50,58,2800
69,34,66,1100
89,16,80,200
92,50,70,400
21,48,62,2300
58,12,68,1400
87,13,60,3700
83,11,65,800
46,26,72,900
88,22,70,3300
53,46,76,1300
54,10,59,500
92,44,54,3900
99,44,51,3200
43,9,51,3000
79,28,51,3400
53,8,74,400
93,52,59,2300
106,25,65,3900
24,24,63,400
106,42,66,1100
21,11,66,700
25,18,74,2600
64,52,53,3800
59,38,70,3700
96,50,77,2300
52,15,59,2100
90,11,51,2300
44,6,50,3900
54,15,66,2700
76,47,77,3400
106,18,67,700
42,24,74,2200
13,44,61,3200
84,17,53,1000
23,41,80,1300
49,38,78,1700
107,47,74,3400
25,52,73,700
36,29,62,3100
104,12,69,1900
23,4,56,1300
15,16,63,800
56,35,51,1700
51,29,79,3900
44,41,63,2600
45,7,72,0
54,36,80,2600
23,48,68,1500
16,30,76,1100
104,1,68,1900
10,47,62,1700
22,14,62,2500
38,4,68,2100
57,15,64,1400
28,23,79,3500
44,33,73,500
27,12,69,3700
43,10,53,3900
105,10,78,1900
86,2,54,1200
32,3,51,2500
89,42,50,1100
21,2,50,1500
87,23,71,500
58,15,61,4000
17,46,71,900
98,38,65,2500
104,21,63,2100
36,34,75,700
49,8,74,3900
94,21,54,1400
81,23,72,800
36,11,77,3200
41,41,58,200
21,26,73,1400
91,48,74,3800
91,31,71,3300
36,5,56,2700
97,1,68,3400
33,25,73,3600
52,49,76,3100
42,1,55,2000
106,42,56,1500
48,42,57,0
94,48,68,3100
97,2,65,300
44,1,65,2900
48,38,54,3900
25,22,78,2500
31,19,73,600
72,8,52,3700
18,39,62,1500
89,52,65,3400
30,29,54,3700
92,27,61,300
69,16,77,1800
85,15,79,2700
22,14,61,3000
11,33,62,1400
83,8,53,1700
34,49,69,1100
29,23,77,2200
84,39,70,2300
47,37,67,2300
100,28,66,3300
34,40,80,1800
21,16,75,3300
51,7,60,1900
41,52,72,1100
69,13,64,1200
56,34,58,3300
106,4,64,2700
73,44,55,3800
98,37,63,3200
72,44,69,200
59,36,60,2300
74,5,61,300
61,6,58,3400
42,26,77,3900
19,8,76,3000
58,6,67,600
66,5,70,400
30,46,79,2300
56,24,73,1800
103,40,70,2300
73,21,72,400
88,9,66,3800
65,35,64,2000
18,20,63,1500
73,1,67,3500
29,32,56,2600
74,32,60,2400
77,22,70,600
93,8,58,2000
13,33,56,4000
24,5,53,3000
68,41,72,3400
94,44,72,3700
16,3,76,3600
105,43,63,2300
57,42,70,1500
86,19,73,3100
65,4,79,1400
88,37,73,3100
95,44,65,800
67,33,77,1300
11,45,54,2800
87,8,63,1000
83,48,57,2600
107,13,76,3400
82,36,51,2100
48,13,63,2200
74,28,58,2000
86,41,72,1100
59,13,79,1900
11,19,66,1200
21,1,68,2500
85,7,62,2000
56,46,54,3200
84,35,62,1100
90,25,61,3100
54,25,59,2000
64,4,63,3700
51,20,64,3000
92,8,67,4000
105,30,51,2500
14,29,50,500
41,24,72,2200
85,29,57,1400
65,47,66,3900
37,22,77,1500
25,24,60,3400
88,5,78,1300
97,29,64,2100
10,18,53,2200
90,3,74,1500
13,34,71,600
21,9,62,1300
37,49,57,1400
64,28,52,3300
103,48,78,2100
50,35,60,1100
38,18,50,2500
87,14,75,2700
80,17,54,500
66,18,74,3200
105,11,54,1200
92,2,56,500
70,4,75,2500
10,34,53,200
49,11,63,2500
21,19,63,3900
29,47,62,1800
24,3,56,1100
85,45,73,1100
21,16,50,2900
55,7,67,2200
73,52,51,300
18,26,62,2600
22,45,69,2600
76,26,63,2000
20,42,53,3500
96,36,68,600
67,15,62,3100
86,48,55,3500
31,2,70,100
87,36,71,3200
88,33,64,1700
17,18,68,2100
17,17,74,4000
53,1,57,2500
11,29,59,3500
42,14,71,2200
100,7,58,1900
73,33,74,2000
73,40,52,300
86,11,53,2400
78,50,80,3300
65,50,71,2400
36,9,70,100
47,4,53,3000
96,46,59,2800
77,52,65,3400
83,52,79,2000
14,13,53,1100
28,44,61,200
21,31,78,1300
29,43,60,3800
85,37,66,700
62,36,78,600
47,25,75,3300
83,15,62,2300
12,13,50,1600
72,46,73,500
55,11,79,1400
79,26,67,900
93,14,52,200
34,1,63,1300
16,19,73,300
17,38,63,800
82,18,67,900
93,25,59,1600
95,24,59,1800
51,4,74,700
87,43,61,3800
24,49,52,2100
12,19,74,3600
105,24,51,1700
102,9,78,2600
35,14,63,2300
99,26,53,3500
53,24,74,3500
28,43,71,2100
55,11,67,3900
39,45,77,1600
14,35,68,1700
109,26,65,3300
105,45,65,3400
83,4,71,1500
100,10,64,2800
66,17,53,1500
95,19,63,2700
68,48,67,2300
104,40,61,3700
60,40,70,800
65,24,55,300
11,24,74,0
41,8,80,3000
70,16,52,500
65,20,52,2800
90,33,54,700
87,6,79,3300
62,39,59,1100
56,51,80,1500
50,24,72,400
64,50,63,100
108,10,60,600
108,20,60,300
45,34,58,3200
82,23,66,3600
98,36,76,1200
58,45,62,3500
61,3,77,700
66,25,67,1900
30,24,76,2900
100,46,54,1800
74,22,63,1000
21,33,70,500
30,4,67,1700
30,39,76,1700
59,18,58,1600
104,36,75,2400
75,44,75,400
15,1,78,600
81,3,53,2600
80,12,50,400
70,4,67,1000
49,45,79,3700
78,2,70,2300
66,37,76,3400
103,6,60,200
83,26,68,2600
51,2,70,1900
68,30,51,3500
25,37,63,3000
27,22,78,500
12,10,70,2600
57,49,50,900
95,35,59,300
17,50,69,800
36,44,57,2400
63,50,51,3000
105,50,54,3600
94,47,62,2800
30,41,59,2300
102,16,73,500
76,19,57,3000
11,11,63,1700
23,18,50,600
56,41,71,3000
109,22,60,3600
16,38,77,2200
94,1,61,300
42,41,73,600
11,5,64,3700
22,21,67,3000
71,2,55,800
27,14,76,1400
54,12,50,1000
63,33,64,2600
58,10,74,3600
65,52,69,900
104,8,58,3000
26,44,69,1600
25,30,59,1000
26,50,57,2800
86,11,75,1900
82,17,55,3200
98,3,62,500
53,27,60,2000
32,46,54,400
83,9,73,2100
87,34,74,3700
99,5,72,3500
12,42,70,1200
70,10,57,1200
64,47,63,3600
88,36,68,3900
57,22,79,3900
92,51,52,1200
65,12,68,600
84,48,75,300
39,50,74,900
15,29,58,1800
86,38,54,600
80,49,75,1100
10,24,64,700
20,46,54,800
79,3,70,200
22,40,54,2700
29,21,54,3400
12,35,76,900
24,19,65,1600
99,27,56,1700
59,24,70,1400
35,15,50,700
53,5,59,1000
96,15,71,1000
37,23,77,900
88,4,64,1400
89,39,63,2300
89,9,79,3000
50,28,53,3100
44,49,62,600
37,16,78,3300
72,48,77,800
103,47,80,2200
64,10,68,3900
108,29,68,1900
27,47,80,2900
86,52,70,2400
28,35,58,1500
15,49,60,3700
100,48,65,3900
83,30,76,200
62,32,59,2400
10,16,62,1500
37,14,76,1500
33,42,54,3500
91,44,68,1100
86,37,54,700
68,13,71,2200
89,34,79,2400
57,6,69,3100
101,10,72,1800
42,5,55,2500
33,29,64,2800
101,28,50,200
109,43,64,2600
101,5,50,3900
43,23,57,1700
89,25,65,2200
38,35,74,2100
50,11,66,3300
37,14,64,200
10,24,50,3800
77,31,77,1900
94,17,56,3600
45,37,75,200
41,11,59,600
107,1,56,1700
20,38,68,4000
53,33,52,3200
56,40,59,200
103,18,57,3600
15,36,63,1900
81,16,80,2500
92,36,54,3400
63,3,76,400
90,21,62,3700
44,51,58,3800
100,13,68,3500
62,31,60,200
59,4,59,100
79,42,70,2800
41,41,53,3900
108,2,79,1600
86,6,60,2800
101,33,59,100
38,10,72,0
57,11,52,3100
10,49,56,3600
25,52,80,2100
95,20,53,3500
97,12,66,600
101,5,74,1200
54,37,50,2100
45,30,71,0
32,21,80,3400
77,9,59,3200
74,35,80,2800
57,42,51,2100
16,21,53,3700
107,30,78,4000
91,24,57,500
64,14,63,1900
32,12,77,800
68,20,77,2700
63,42,54,1600
19,39,75,1500
23,19,79,600
13,2,68,2100
24,5,64,500
65,22,56,3100
45,15,52,1700
105,36,50,1000
44,44,69,800
93,46,80,1400
101,37,55,1300
13,7,72,2000
69,24,74,3800
90,43,79,100
39,9,80,3200
36,4,64,1900
108,17,52,2400
94,12,70,2500
27,3,77,1100
32,43,68,1700
58,29,79,4000
69,33,65,100
73,26,77,3000
10,3,66,700
63,48,72,3100
86,14,74,2900
43,13,77,900
52,8,56,3300
81,33,65,1400
31,49,57,2400
98,12,79,3300
109,36,67,800
86,46,51,3900
88,51,57,2000
59,16,74,1600
102,20,75,2100
78,13,71,2600
90,40,51,1100
65,18,71,700
102,41,50,1200
85,21,60,0
108,3,52,3700
82,4,58,3600
27,1,57,4000
97,23,71,0
100,12,67,700
32,38,66,3300
109,24,80,1500
39,5,74,3300
46,30,61,1300
20,41,78,2200
12,38,58,0
13,5,77,1500
22,40,78,0
97,52,73,2700
14,8,74,1400
63,35,64,1600
81,24,68,1700
12,23,76,400
82,7,72,2500
78,11,76,600
85,31,73,3300
92,21,74,1700
91,49,54,2900
48,12,58,100
23,34,66,900
80,44,69,3400
70,12,53,900
80,18,66,2900
42,46,54,2700
63,32,80,1500
55,19,66,4000
67,51,69,2100
